Reference,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna,PinSocket_1x01_P2.54mm_Vertical,124.946945,-107.641000,-90.000000,T
AE3,Antenna,Molex_47948-0001_2.4Ghz,128.890000,-92.210000,-90.000000,T
AE4,0.950uH,Coilcraft_MA5532-AE_RFID,161.180000,-67.100000,90.000000,T
C1,10uF,C_0805_2012Metric,160.600000,-110.750000,90.000000,T
C2,1uF,C_0402_1005Metric,137.630000,-91.200000,90.000000,T
C3,10nF,C_0805_2012Metric,139.140000,-91.670000,90.000000,T
C4,10uF,C_0805_2012Metric,130.470000,-96.390000,180.000000,T
C5,1nF,C_0402_1005Metric,132.920000,-96.280000,-90.000000,T
C6,0.1uF,C_0402_1005Metric,134.080000,-96.200000,-90.000000,T
C7,0.1uF,C_0402_1005Metric,137.360000,-95.620000,-90.000000,T
C8,0.1uF,C_0402_1005Metric,145.060000,-93.400000,0.000000,T
C9,0.1uF,C_0402_1005Metric,143.420000,-104.730000,-90.000000,T
C10,0.1uF,C_0402_1005Metric,150.920000,-102.150000,-90.000000,T
C11,1nF,C_0402_1005Metric,151.980000,-102.120000,-90.000000,T
C12,12pF,C_0402_1005Metric,140.630000,-92.890000,-90.000000,T
C13,12pF,C_0402_1005Metric,143.140000,-93.390000,0.000000,T
C14,1uF,C_0402_1005Metric,133.700000,-99.220000,-90.000000,T
C15,100nF,C_0402_1005Metric,146.890000,-108.690000,-90.000000,T
C16,100nF,C_0402_1005Metric,140.310000,-114.510000,-90.000000,T
C17,470nF,C_0402_1005Metric,146.171945,-111.776000,0.000000,T
C18,470nF,C_0402_1005Metric,137.380000,-112.390000,-90.000000,T
C19,470nF,C_0402_1005Metric,138.380000,-112.360000,-90.000000,T
C20,10uF,C_0805_2012Metric,158.810000,-122.420000,0.000000,T
C21,10uF,C_0805_2012Metric,161.970000,-125.380000,-90.000000,T
C22,1nF,C_0402_1005Metric,131.001945,-107.936000,90.000000,T
C23,39pF,C_0402_1005Metric,130.491945,-110.206000,180.000000,T
C24,3.3pF,C_0402_1005Metric,129.761945,-108.656000,90.000000,T
C25,3.3pF,C_0402_1005Metric,127.001945,-110.496000,-90.000000,T
C26,4.7uF,C_0402_1005Metric,148.350000,-54.820691,-90.000000,T
C27,10uF,C_0402_1005Metric,134.580000,-69.550000,-90.000000,T
C28,1uF,C_0402_1005Metric,126.380000,-68.150000,180.000000,T
C29,1uF,C_0402_1005Metric,128.360000,-68.130000,0.000000,T
C30,0.1uF,C_0402_1005Metric,144.850000,-68.100000,180.000000,T
C31,2uF,C_0402_1005Metric,144.450000,-69.550000,90.000000,T
C32,1uF,C_0402_1005Metric,143.310000,-68.680000,90.000000,T
C33,2.2uF,C_0402_1005Metric,146.550000,-82.080000,0.000000,T
C34,0.01uF,C_0402_1005Metric,146.570000,-83.070000,0.000000,T
C35,1.6pF,C_0402_1005Metric,135.330000,-93.020000,-90.000000,T
C36,1.6pF,C_0402_1005Metric,132.100000,-92.030000,90.000000,T
C37,27pF,C_0402_1005Metric,147.540000,-87.120000,-90.000000,T
C38,27pF,C_0402_1005Metric,142.980000,-85.570000,-90.000000,T
C39,2.2uF,C_0402_1005Metric,147.830000,-79.130000,0.000000,T
C40,0.01uF,C_0402_1005Metric,147.960000,-78.040000,0.000000,T
C41,2.2uF,C_0402_1005Metric,139.470000,-74.930000,90.000000,T
C42,0.01uF,C_0402_1005Metric,139.090000,-76.420000,180.000000,T
C43,1500uF,C_0402_1005Metric,148.560000,-76.550000,-90.000000,T
C44,1500uF,C_0402_1005Metric,147.580000,-76.550000,-90.000000,T
C45,1200pF,C_0402_1005Metric,151.220000,-75.530000,90.000000,T
C46,2.2uF,C_0402_1005Metric,144.030000,-75.070000,90.000000,T
C47,0.01uF,C_0402_1005Metric,145.120000,-75.050000,90.000000,T
C48,1200pF,C_0402_1005Metric,151.170000,-73.640000,90.000000,T
C49,680pF,C_0402_1005Metric,152.330000,-75.450000,-90.000000,T
C50,10pF,C_0402_1005Metric,153.770000,-74.790000,180.000000,T
C51,220pF,C_0402_1005Metric,157.260000,-73.110000,90.000000,T
C52,680pF,C_0402_1005Metric,157.260000,-71.210000,90.000000,T
C53,120pF,C_0402_1005Metric,155.270000,-75.200000,-90.000000,T
C54,27pF,C_0402_1005Metric,156.250000,-75.220000,-90.000000,T
C55,82pF,C_0402_1005Metric,162.170000,-74.330000,-90.000000,T
C56,68pF,C_0402_1005Metric,159.600000,-74.430000,180.000000,T
C57,10uF,C_0402_1005Metric,151.720000,-81.680000,-90.000000,T
C58,2.2uF,C_0402_1005Metric,147.840000,-80.120000,0.000000,T
C59,0.01uF,C_0402_1005Metric,147.880000,-81.150000,0.000000,T
C60,10uF,C_0805_2012Metric,158.030000,-79.670000,0.000000,T
D1,IR26-21C_L110_TR8,LED_1206_3216Metric,132.800000,-54.670000,180.000000,T
D2,ESD9B3.3ST5G,D_SOD-923,158.440000,-111.780000,-90.000000,T
D3,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,125.190000,-70.430000,0.000000,T
DS1,OLED-128O064D,OLED-128O064D,135.470000,-66.320000,0.000000,T
FL1,0900FM15K0039,Balun_Johanson_0900FM15K0039,137.390000,-109.390000,180.000000,T
IC1,TRF7970ARHBR,QFN50P500X500X100-33N-D,142.390000,-80.140000,180.000000,T
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,155.517273,-128.530482,0.000000,T
L1,2.0nH,L_0402_1005Metric,136.300000,-95.600000,90.000000,T
L2,150nH,L_0402_1005Metric,150.010000,-76.990000,0.000000,T
